Keywords,Date and Time,Source,Event ID,Task Category
Audit Success,DD/MM/YYYY 11:35:50 AM,Microsoft-Windows-Security-Auditing,4688,Process Creation,"A new process has been created.

Creator Subject:
	Security ID:		NETWORK SERVICE
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E4

Target Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x1610
	New Process Name:	C:\Windows\System32\conhost.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		Mandatory Label\System Mandatory Level
	Creator Process ID:	0x1808
	Creator Process Name:	C:\Windows\System32\gpupdate.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator."
Audit Success,DD/MM/YYYY 11:35:50 AM,Microsoft-Windows-Security-Auditing,4688,Process Creation,"A new process has been created.

Creator Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Subject:
	Security ID:		NULL SID
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E4

Process Information:
	New Process ID:		0x1808
	New Process Name:	C:\Windows\System32\gpupdate.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		Mandatory Label\System Mandatory Level
	Creator Process ID:	0x74c
	Creator Process Name:	C:\Windows\System32\svchost.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator."
Audit Success,DD/MM/YYYY 11:35:40 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:40 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:40 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:40 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:40 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:40 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:40 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:39 AM,Microsoft-Windows-Security-Auditing,4689,Process Termination,"A process has exited.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:	0x15e4
	Process Name:	C:\Windows\System32\conhost.exe
	Exit Status:	0x0"
Audit Success,DD/MM/YYYY 11:35:39 AM,Microsoft-Windows-Security-Auditing,4689,Process Termination,"A process has exited.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:	0x2f98
	Process Name:	C:\Windows\System32\quser.exe
	Exit Status:	0x0"
Audit Success,DD/MM/YYYY 11:35:39 AM,Microsoft-Windows-Security-Auditing,4688,Process Creation,"A new process has been created.

Creator Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x15e4
	New Process Name:	C:\Windows\System32\conhost.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		Mandatory Label\System Mandatory Level
	Creator Process ID:	0x2f98
	Creator Process Name:	C:\Windows\System32\quser.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator."
Audit Success,DD/MM/YYYY 11:35:39 AM,Microsoft-Windows-Security-Auditing,4688,Process Creation,"A new process has been created.

Creator Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x2f98
	New Process Name:	C:\Windows\System32\quser.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		Mandatory Label\System Mandatory Level
	Creator Process ID:	0xb1c
	Creator Process Name:	C:\Windows\LTSvc\LTSVC.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator."
Audit Success,DD/MM/YYYY 11:35:23 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:23 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:23 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:23 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:23 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:23 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:23 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:23 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:23 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:23 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:23 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:23 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:00 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:00 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:00 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:00 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:00 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
Audit Success,DD/MM/YYYY 11:35:00 AM,Microsoft-Windows-Security-Auditing,4703,Token Right Adjusted Events,"A token right was adjusted.

Subject:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Target Account:
	Security ID:		SYSTEM
	Account Name:		WS-3$
	Account Domain:		LAB
	Logon ID:		0x3E7

Process Information:
	Process ID:		0xa8c
	Process Name:		C:\Windows\System32\svchost.exe

Enabled Privileges:
			SeAssignPrimaryTokenPrivilege
			SeIncreaseQuotaPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeSystemtimePrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeShutdownPrivilege
			SeSystemEnvironmentPrivilege
			SeUndockPrivilege
			SeManageVolumePrivilege

Disabled Privileges:
			-"
